path	text
/content/drive/My Drive/Music generator/Soundtracks/FTL/01. Space Cruise (Title).mp3	Software synthesizers and musical emulators. Largely dynamic, transforms from a slow methodic tune, to segments of music from several battle tracks in the game.
/content/drive/My Drive/Music generator/Soundtracks/FTL/02. MilkyWay (Explore).mp3	Software synthesizers and musical emulators. Focused on very high pitch keys, as well as seperation between quicker and slower sequences of notes.
/content/drive/My Drive/Music generator/Soundtracks/FTL/03. Civil (Explore).mp3	Software synthesizers & musical emulators. A largely passive song, but with some quick note sequences. Mostly composed of medium and high pitch notes.
/content/drive/My Drive/Music generator/Soundtracks/FTL/04. Cosmos (Explore).mp3	An ambient and mysterious track that feels vast and empty, with echoing synth bells and sparse chord progressions that build a sense of cosmic danger and solitude.
/content/drive/My Drive/Music generator/Soundtracks/FTL/05. Deepspace (Explore).mp3	A quiet and tense ambient piece. It is minimal, with muffled, metallic sounds and a deep, brooding atmosphere, suggesting a desolate or dangerous region of space.
/content/drive/My Drive/Music generator/Soundtracks/FTL/06. Debris (Explore).mp3	An atmospheric piece with a slightly melancholic feel, featuring soft synths and sound effects reminiscent of exploring the ruins of an old ship.
/content/drive/My Drive/Music generator/Soundtracks/FTL/07. Mantis (Explore).mp3	A menacing and unsettling track. It's built on a dark, minor chord progression and a mysterious melody, creating a creepy and tense atmosphere to match the Mantis race.
/content/drive/My Drive/Music generator/Soundtracks/FTL/08. Engi (Explore).mp3	A tranquil and soothing electronic tune. It uses bubbly synths and a gentle rhythm, perfect for the calm and organized nature of the Engi sectors.
/content/drive/My Drive/Music generator/Soundtracks/FTL/09. Colonial (Explore).mp3	A driving and slightly tense theme with a strong, rhythmic backbone. It has an optimistic but guarded feel, as if preparing for a long journey through a potentially hostile sector.
/content/drive/My Drive/Music generator/Soundtracks/FTL/10. Wasteland (Explore).mp3	An industrial and gritty track. It features a heavy, syncopated rhythm and distorted synths, conveying a sense of hardship and decay.
/content/drive/My Drive/Music generator/Soundtracks/FTL/11. Rockmen (Explore).mp3	A percussive, tribal-sounding track with a strong, low-end synth bass. The melody is simple and repetitive, creating a feel of stoic determination and strength.
/content/drive/My Drive/Music generator/Soundtracks/FTL/12. Void (Explore).mp3	A slow and eerie ambient piece. It is characterized by strange, reverberating synth sounds and a deep, unsettling drone, perfect for the mysterious nebula sectors.
/content/drive/My Drive/Music generator/Soundtracks/FTL/13. Zoltan (Explore).mp3	An ominous and hopeful track, inspired by Gustav Holst's 'The Planets.' It combines formal, classical-style synth sounds with a mysterious and intimate melody.
/content/drive/My Drive/Music generator/Soundtracks/FTL/14. BONUS Federation.mp3	A grand and uplifting track. It has a majestic and hopeful feel, combining elements of the MilkyWay melody with a more formal, orchestral-style synth.
/content/drive/My Drive/Music generator/Soundtracks/FTL/15. MilkyWay (Battle).mp3	A more frantic and intense version of the explore theme. It features a fast tempo, driving drums, and a powerful synth lead, capturing the urgency of combat.
/content/drive/My Drive/Music generator/Soundtracks/FTL/16. Civil (Battle).mp3	A high-energy, rhythmic track with a complex melody. It's a faster and more chaotic version of the explore track, with added punchy synths and percussion.
/content/drive/My Drive/Music generator/Soundtracks/FTL/17. Cosmos (Battle).mp3	This track transforms the explore theme into a pulsating, techno-inspired anthem. It's built on a tribal drum beat and a strong, driving bassline.
/content/drive/My Drive/Music generator/Soundtracks/FTL/18. Deepspace (Battle).mp3	A dramatic and industrial battle track. It's characterized by loud, punchy 'tribal' drums and a fast-paced, relentless energy.
/content/drive/My Drive/Music generator/Soundtracks/FTL/19. Debris (Battle).mp3	An intense and rhythmic battle theme. It features driving synth lines and a solid beat, building a sense of desperate struggle.
/content/drive/My Drive/Music generator/Soundtracks/FTL/20. Mantis (Battle).mp3	A frantic and aggressive theme with a heavy, distorted synth bass. The drums are prominent and powerful, reflecting the Mantis' savage nature.
/content/drive/My Drive/Music generator/Soundtracks/FTL/21. Engi (Battle).mp3	A more chaotic and urgent version of the explore theme. The electronic melody is still present but is now backed by a faster beat and more intense synth effects.
/content/drive/My Drive/Music generator/Soundtracks/FTL/22. Colonial (Battle).mp3	An energetic and fast-paced track with a powerful beat and an evolving synth melody that builds tension and excitement during combat.
/content/drive/My Drive/Music generator/Soundtracks/FTL/23. Wasteland (Battle).mp3	A chaotic and industrial-sounding battle theme. It's characterized by its harsh synths and a grinding, powerful rhythm.
/content/drive/My Drive/Music generator/Soundtracks/FTL/24. Rockmen (Battle).mp3	An aggressive and tribal-like battle theme. The track is built on a heavy, rhythmic bassline and powerful percussion that feels both ancient and determined.
/content/drive/My Drive/Music generator/Soundtracks/FTL/26. Zoltan (Battle).mp3	A climactic and powerful battle theme. The track is orchestral in style with a driving rhythm and a soaring melody that evokes a sense of last-ditch heroism.
/content/drive/My Drive/Music generator/Soundtracks/FTL/25. Void (Battle).mp3	A very dark and tense battle track. It features strange, unsettling synths and a powerful, almost tribal-like drum pattern, conveying a sense of hopelessness.
/content/drive/My Drive/Music generator/Soundtracks/FTL/27. Last Stand.mp3	A heroic and epic theme for the final boss fight. It combines multiple musical themes from the soundtrack into a single, dramatic piece, conveying a sense of finality and immense stakes.
/content/drive/My Drive/Music generator/Soundtracks/FTL/28. Victory.mp3	A very short and triumphant jingle. It's a quick fanfare of synths and chimes that signals a successful mission.
/content/drive/My Drive/Music generator/Soundtracks/FTL/29. BONUS Horror.mp3	A short, unsettling, and atmospheric track. It's purely ambient, with strange noises and deep, rumbling tones to create a sense of pure terror and dread.
/content/drive/My Drive/Music generator/Soundtracks/FTL-advanced/01. Lanius (Battle).mp3	An aggressive, fast-paced battle theme with intense, industrial percussion and a chilling, mechanical synth lead that feels both relentless and dangerous.
/content/drive/My Drive/Music generator/Soundtracks/FTL-advanced/02. Lost Ship (Battle).mp3	A dramatic and climactic battle theme that builds tension with a powerful, rhythmic bassline and sharp percussion, creating a sense of desperation.
/content/drive/My Drive/Music generator/Soundtracks/FTL-advanced/03. Slug (Battle).mp3	A catchy and intense battle theme with a driving, syncopated rhythm. It features a funky bassline and a fast, memorable synth melody that gives it a chaotic and frantic feel.
/content/drive/My Drive/Music generator/Soundtracks/FTL-advanced/04. Hacking Malfunction (Battle).mp3	A chaotic and frantic battle theme. The tempo is fast, and the track is filled with glitchy sound effects and sharp, cutting synth lines.
/content/drive/My Drive/Music generator/Soundtracks/FTL-advanced/05. Lanius (Explore).mp3	A cold, haunting, and industrial track with metallic percussion and eerie, drawn-out synth pads, reflecting the nature of the Lanius race.
